year_month,Discharge_log,Temperature_log,Precipitation_log,scenario_usage_log,t_1,t_2,D4N0142
1977-01-01,1.7134398838277076,4.234749174024491,5.2017030805426,12.887886118292835,0.0,0.0,-23.69
1977-02-01,1.7381205462026765,4.234749174024491,5.816241156068032,12.887886118292835,-23.69,0.0,-23.53762711864407
1977-03-01,1.7842606194689856,4.077312260546414,5.8283137373023015,12.887886118292835,-23.53762711864407,-23.69,-23.4
1977-04-01,1.8329775133663322,4.025291075795535,4.391147045808654,12.887886118292835,-23.4,-23.53762711864407,-23.37
1977-05-01,1.877965617552487,3.8467186496559975,1.0,12.887886118292835,-23.37,-23.4,-23.32
1977-06-01,1.7916341272745995,3.6210388241125804,1.0,12.887886118292835,-23.32,-23.37,-23.35
1977-07-01,1.7714961469709216,3.5877640352277083,1.0,12.887886118292835,-23.35,-23.32,-23.32
1977-08-01,1.725130226412996,3.7788192719904172,2.6094379124341005,12.887886118292835,-23.32,-23.35,-23.26
1977-09-01,1.674473915294324,3.998229153752578,5.283586561860629,12.887886118292835,-23.26,-23.32,-23.21
1977-10-01,1.6349882663864133,4.141994780532244,4.648057459593681,12.887886118292835,-23.21,-23.26,-23.18
1977-11-01,1.5872309549683963,4.244543571616779,4.772760938094638,12.887886118292835,-23.18,-23.21,-23.15
1977-12-01,1.4743690867553756,4.224857896545748,5.795790545596741,12.887886118292835,-23.15,-23.18,-23.15
1978-01-01,1.5573274574174105,4.200711854240529,6.793623178655991,13.053289502420403,-23.15,-23.15,-23.05
1978-02-01,1.7471617688661836,4.1759683238569245,5.8283137373023015,13.053289502420403,-23.05,-23.15,-22.85
1978-03-01,2.088561952814608,4.1463051320333655,4.440418094815437,13.053289502420403,-22.85,-23.05,-22.72
1978-04-01,2.313454814942933,3.952302715626655,4.698829784967105,13.053289502420403,-22.72,-22.85,-22.68
1978-05-01,2.2516194577932893,3.803360380906535,1.0,13.053289502420403,-22.68,-22.72,-22.57
1978-06-01,2.1301109557274804,3.529720665577793,1.0,13.053289502420403,-22.57,-22.68,-22.52
1978-07-01,2.0249657484998114,3.613739521630969,1.0,13.053289502420403,-22.52,-22.57,-22.45
1978-08-01,1.908661704709664,3.9258461460898246,4.901972669574645,13.053289502420403,-22.45,-22.52,-22.41
1978-09-01,1.821100544870406,4.008154793552548,4.000719815065031,13.053289502420403,-22.41,-22.45,-22.38
1978-10-01,1.7533011033796924,4.106826321059578,5.174387269895637,13.053289502420403,-22.38,-22.41,-22.35
1978-11-01,1.72270598280149,4.224857896545748,3.70805020110221,13.053289502420403,-22.35,-22.38,-22.33
1978-12-01,1.6714126884139393,4.225835158985895,4.218875824868201,13.053289502420403,-22.33,-22.35,-22.31524590163934
1979-01-01,1.5838901946229957,4.2268439945173775,6.278114659230517,13.053774993092267,-22.31524590163934,-22.33,-22.3
1979-02-01,1.5388298201755881,4.242592351485516,4.258096538021482,13.053774993092267,-22.3,-22.31524590163934,-22.29794701986755
1979-03-01,1.516182039042551,4.1986731175506815,4.044522437723423,13.053774993092267,-22.29794701986755,-22.3,-22.29609271523179
1979-04-01,1.490494497288156,4.044522437723423,4.2228678461377385,13.053774993092267,-22.29609271523179,-22.29794701986755,-22.29403973509934
1979-05-01,1.4649910874221912,3.8243506567983707,3.9338568698359038,13.053774993092267,-22.29403973509934,-22.29609271523179,-22.29205298013245
1979-06-01,1.4440445900756396,3.6354795082673745,1.0,13.053774993092267,-22.29205298013245,-22.29403973509934,-22.29
1979-07-01,1.4567917352735051,3.5610957881455465,1.0,13.053774993092267,-22.29,-22.29205298013245,-22.29
1979-08-01,1.458057558227335,3.8183982582710754,3.4423470353692043,13.053774993092267,-22.29,-22.29,-22.29
1979-09-01,1.4731237565819792,4.065724645374026,4.367295829986475,13.053774993092267,-22.29,-22.29,-22.37
1979-10-01,1.4134332777573413,4.18013499655177,4.269568939183719,13.053774993092267,-22.37,-22.29,-22.29
1979-11-01,1.396760667478018,4.120159851929043,6.214935757608986,13.053774993092267,-22.29,-22.37,-22.3
1979-12-01,1.5440669575457926,4.1479959281669085,5.6491870714048655,13.053774993092267,-22.3,-22.29,-22.37
1980-01-01,1.5199835615507564,4.1759683238569245,5.871373226762748,13.0537751549587,-22.37,-22.3,-22.32
1980-02-01,1.4959150110302364,4.163363114937942,5.853591544486569,13.0537751549587,-22.32,-22.37,-22.35
1980-03-01,1.5229518035638314,4.150596984114906,5.418840607796598,13.0537751549587,-22.35,-22.32,-22.47
1980-04-01,1.4818086746954982,3.9806186357439426,4.314186004672526,13.0537751549587,-22.47,-22.35,-22.53
1980-05-01,1.4446858212614457,3.8213788864092133,1.0,13.0537751549587,-22.53,-22.47,-22.37
1980-06-01,1.4376095614347315,3.5687881337687024,1.0,13.0537751549587,-22.37,-22.53,-22.47
1980-07-01,1.4376095614347315,3.5494451709255714,1.0,13.0537751549587,-22.47,-22.37,-22.61
1980-08-01,1.4376095614347315,3.772588722239781,1.0,13.0537751549587,-22.61,-22.47,-22.67
1980-09-01,1.4304828710834523,3.9391619220655967,5.627909672957581,13.0537751549587,-22.67,-22.61,-22.77
1980-10-01,1.4298324645564588,4.154870494892288,3.1400661634962708,13.0537751549587,-22.77,-22.67,-22.86
1980-11-01,1.3839009301923237,4.131136910560194,6.1029105702054265,13.0537751549587,-22.86,-22.77,-22.56
1980-12-01,1.4630945706715155,4.2068032436339315,4.9415818076696905,13.0537751549587,-22.56,-22.86,-22.59
1981-01-01,1.5388298201755881,4.2047769004886995,5.820281565605037,13.35232279346877,-22.59,-22.56,-22.49
