year_month,Discharge_log,Temperature_log,precip_trend_log,Abstraction_log,t_1,t_2,D4N0053
1983-09-01,1.387301137480493,4.091042453358316,4.586523678957864,14.597576849321017,-19.14,-19.02,-19.28
1983-10-01,1.365337317017385,3.8535925063928684,4.561046082604051,14.597576849321017,-19.28,-19.14,-19.35
1983-11-01,1.3701832939635246,3.653241964607215,4.542166324787349,14.597576849321017,-19.35,-19.28,-19.52
1983-12-01,1.3597701488460348,3.653241964607215,4.542166324787349,14.597576849321017,-19.52,-19.35,-19.67
1984-01-01,1.3488947566197702,3.747270914255491,4.548659073338618,14.678864414736553,-19.67,-19.52,-19.78
1984-02-01,1.3378997886123984,4.054001181677966,4.548659073338618,14.678864414736553,-19.78,-19.67,-19.92
1984-03-01,1.3242550526826211,4.148453360571654,4.580505142272065,14.678864414736553,-19.92,-19.78,-20.0
1984-04-01,1.3336110043401808,4.250374491927571,4.586639065792354,14.678864414736553,-20.0,-19.92,-20.05
1984-05-01,1.336472236621213,4.242592351485516,4.373740535429116,14.678864414736553,-20.05,-20.0,-20.16
1984-06-01,1.3321773123383323,4.314186004672526,4.251020278194767,14.678864414736553,-20.16,-20.05,-20.41
1984-07-01,1.3199072197465178,4.319625727968344,4.410459907274644,14.678864414736553,-20.41,-20.16,-20.52
1984-08-01,1.3177261938001577,4.220873827530873,4.492965943800515,14.678864414736553,-20.52,-20.41,-20.62
1984-09-01,1.3321773123383323,4.017982882488811,4.497643279930408,14.678864414736553,-20.62,-20.52,-20.68
1984-10-01,1.3694924476493469,3.8183982582710754,4.483673024782522,14.678864414736553,-20.68,-20.62,-20.76
1984-11-01,1.3619233181490016,3.583997552432231,4.480470562556663,14.678864414736553,-20.76,-20.68,-20.86
1984-12-01,1.354543397491064,3.649714624089247,4.476455648257632,14.678864414736553,-20.86,-20.76,-20.96
1985-01-01,1.3468598276278765,3.833213344056216,4.500985020599282,14.718572988048699,-20.96,-20.86,-21.08
1985-02-01,1.3391167630924101,4.086486636822455,4.54334421847042,14.718572988048699,-21.08,-20.96,-21.22
1985-03-01,1.332071118525084,4.202746442938317,4.5457786104732625,14.718572988048699,-21.22,-21.08,-21.27
1985-04-01,1.324212238659595,4.2068032436339315,4.472742548825251,14.718572988048699,-21.27,-21.22,-21.36
1985-05-01,1.3165476094021422,4.288401887516811,4.493219332880801,14.718572988048699,-21.36,-21.27,-21.44
1985-06-01,1.3085652883024155,4.323235840192444,4.59216203461213,14.718572988048699,-21.44,-21.36,-21.52
1985-07-01,1.3007793160402297,4.246490991901174,4.624118686059126,14.718572988048699,-21.52,-21.44,-21.61
1985-08-01,1.29266961396282,4.194583132299156,4.573632262984303,14.718572988048699,-21.61,-21.52,-21.73
1985-09-01,1.2844936065346215,3.995732273553991,4.574566951684201,14.718572988048699,-21.73,-21.61,-21.78336065573771
1985-10-01,1.2765171803044075,3.8273136219290276,4.665106969646856,14.718572988048699,-21.78336065573771,-21.73,-21.835
1985-11-01,1.2682074834504191,3.653241964607215,4.696553146264538,14.718572988048699,-21.835,-21.78336065573771,-21.95
